A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
188,Au,79,7414 79,22 47,2975 23,24 20,25176 62,11 51
188,Hg,80,10155 30,18 53,4463 05,25 46,29657 60,23 43
188,Tl,81,7963 13,30 97,1507 44,32 98,*,50 32
188,Pb,82,10899 56,11 77,2659 59,13 33,*,22 24
188,Bi,83,8882 73,15 01,503 30,12 29,*,14 15
188,Po,84,11444 23,37 63,1450 01,22 34,*,70 26
0189,Hf,72,4355 422,10661 585,11824 298,11128 499,7912 499,*
189,Ta,73,6288 203,8239 357,6620 196,11698 357,9459 202,4027 446
189,W,74,5021 04,40 17,9294 48,68 01,851 81,41 31
189,Re,75,7033 55,8 18,6600 20,8 71,4397 09,21 69
189,Os,76,5920 83,0 45,7258 90,0 46,9360 34,31 56
189,Ir,77,8176 00,15 70,4601 32,12 57,13833 49,15 11
189,Pt,78,6719 74,11 38,5413 41,13 79,18625 31,17 31
189,Au,79,9281 96,20 26,3050 00,20 77,23517 29,28 95
189,Hg,80,7495 80,33 85,4544 06,31 67,28204 40,38 50
189,Tl,81,10351 02,31 05,1703 16,14 86,*,64 16
189,Pb,82,8100 15,17 61,2796 60,33 05,*,36 16
189,Bi,83,10941 29,23 66,461 57,23 40,*,10 21
189,Po,84,8949 01,29 76,1516 29,24 73,*,07 24
0190,Hf,72,5939 499,*,401 9471,643 7414,566 *,
190,Ta,73,4755 277,8640 357,8241 196,13077 357,9168 357,4713 446
190,W,74,6836 09,56 41,9842 200,2924 14,39 73,9940 52
190,Re,75,5728 10,71 32,7307 26,81 39,2802 30,70 94
190,Os,76,7792 34,0 19,8017 70,8 16,7337 07,15 92
190,Ir,77,6375 27,12 55,5055 77,1 23,12381 52,8 07
190,Pt,78,8908 42,10 07,6145 83,12 56,16889 81,12 53
190,Au,79,7322 90,20 37,3653 16,10 66,22233 95,22 82
190,Hg,80,9815 61,35 32,5077 71,25 62,26806 86,20 81
190,Tl,81,7827 24,11 54,2034 60,32 54,*,69 14
190,Pb,82,10643 93,18 82,3089 52,15 05,*,56 32
190,Bi,83,8606 24,30 72,44 52,26 59,*,43 24
190,Po,84,11213 15,25 84,1788 15,24 82,*,66 17
0191,Ta,73,6050 357,8750 499,10217 298,11381 422,9251 422,2945 585
191,W,74,4865 18,57 75,9952 200,4522 06,42 12,11364 200
191,Re,75,6785 78,71 59,7256 95,41 03,552 39,11 39
191,Os,76,5758 73,0 11,8048 33,70 85,5803 29,22 29
191,Ir,77,8026 53,0 40,5289 96,1 15,10425 81,7 46
191,Pt,78,6463 10,4 07,6233 66,3 66,15467 12,37 49
191,Au,79,9035 69,6 01,3780 42,4 97,20558 56,8 96
191,Hg,80,7292 52,27 35,5047 33,22 55,25523 16,23 38
191,Tl,81,9982 24,10 82,2201 22,17 52,30146 86,17 70
191,Pb,82,7885 79,39 31,3148 06,38 10,*,79 38
191,Bi,83,10711 08,23 77,111 67,14 58,*,49 15
191,Po,84,8576 22,15 22,1758 13,23 65,*,73 22
191,At,85,*,78 20,99 *,15996 73,27 31,9272 29
0192,Ta,73,4643 499,*,401 12677,566 8963,499 *,
192,W,74,6545 200,10447 357,6639 196,9574 277,7044 277,3159 357
192,Re,75,5309 85,71 53,7701 62,82 27,1183 29,72 54
192,Os,76,7558 32,2 22,8820 86,10 00,3870 64,15 71
192,Ir,77,6198 12,0 11,5729 35,1 15,8963 31,31 70
192,Pt,78,8661 54,2 87,6868 67,2 28,13732 44,13 54
192,Au,79,7045 53,16 58,4362 85,15 88,19237 58,34 02
192,Hg,80,9490 97,27 13,5502 62,16 30,23940 89,19 07
192,Tl,81,7660 62,32 51,2569 32,38 72,28798 10,42 19
192,Pb,82,10396 22,39 56,3562 04,15 19,*,81 15
192,Bi,83,8366 51,31 03,592 39,47 91,*,92 32
192,Po,84,11073 24,13 18,2120 29,13 40,*,72 25
192,At,85,9009 38,32 19,705 62,28 77,*,50 30
0193,Ta,73,5878 566,*,401 *,9024 566,*,
193,W,74,4709 277,10512 446,8193 196,10916 357,7090 277,4390 446
193,Re,75,6714 13,80 88,7871 199,3173 18,40 07,11655 34
193,Os,76,5583 42,0 20,9094 44,70 83,2332 11,15 67
193,Ir,77,7771 99,0 20,5943 02,2 40,7059 02,6 84
193,Pt,78,6262 47,2 30,6933 02,0 36,12285 12,49 60
193,Au,79,8704 02,18 04,4405 33,9 03,17520 26,11 52
193,Hg,80,7121 94,21 93,5579 03,22 15,22736 86,21 25
193,Tl,81,9676 28,32 37,2754 63,16 92,27409 89,22 65
193,Pb,82,7709 79,51 33,3611 21,58 83,31237 40,55 57
193,Bi,83,10421 34,31 05,617 51,15 30,*,37 38
193,Po,84,8325 97,18 28,2079 75,33 43,*,84 16
193,At,85,11064 49,35 28,714 37,24 32,*,22 22
193,Rn,86,*,91 37,52 *,15889 80,29 83,*
0194,Ta,73,4501 643,*,503 *,*,,
194,W,74,6311 357,10945 499,10234 298,9248 499,6830 422,*
194,Re,75,5077 199,8239 277,4975 196,13123 277,8803 200,4901 357
194,Os,76,7112 14,3 13,9492 44,39 20,251 16,3 76
194,Ir,77,6066 79,0 11,6426 39,2 40,5594 22,14 04
194,Pt,78,8351 78,1 29,7512 81,1 25,10552 13,17 44
194,Au,79,6878 43,8 90,5021 30,2 47,16183 12,6 53
194,Hg,80,9193 08,15 77,6068 09,9 14,21179 29,13 23
194,Tl,81,7531 60,15 50,3164 28,20 87,26217 33,28 58
194,Pb,82,10084 77,52 55,4019 70,18 68,29931 43,24 26
194,Bi,83,8215 57,9 78,1123 29,49 96,*,01 14
194,Po,84,10750 65,19 43,2409 07,14 97,*,69 32
194,At,85,8724 16,33 01,316 18,28 86,*,30 27
194,Rn,86,11390 73,30 27,1498 16,27 45,*,45 32
0195,W,74,4555 422,10999 585,11784 298,10571 499,6918 499,*
195,Re,75,6413 357,8342 422,6988 298,11419 357,8935 357,3131 499
195,Os,76,5147 80,55 94,9564 203,1501 80,60 49,11430 85
195,Ir,77,7231 86,0 06,6546 11,2 00,3537 00,11 17
195,Pt,78,6105 10,0 12,7551 11,1 26,9086 16,17 97
195,Au,79,8426 41,2 34,5095 93,1 01,14541 47,5 40
195,Hg,80,6900 76,23 32,6090 43,23 24,19957 13,43 95
195,Tl,81,9289 07,17 84,3260 27,11 46,24684 95,14 65
195,Pb,82,7571 07,25 01,4059 17,22 75,28757 97,53 60
195,Bi,83,10068 07,8 13,1106 59,18 22,*,73 49
195,Po,84,8122 92,39 53,2316 42,37 87,*,11 38
195,At,85,10821 45,26 71,245 39,16 07,*,83 17
195,Rn,86,8744 53,53 25,1518 53,56 32,*,41 54
0196,W,74,5942 499,*,401 9130,643 6854,566 *,
196,Re,75,5035 422,8821 422,8597 298,12695 422,8609 357,3974 499
196,Os,76,6836 83,68 76,9987 301,3548 84,40 16,9671 200
196,Ir,77,5814 56,38 43,7212 87,67 82,1938 90,40 28
196,Pt,78,7921 98,0 13,8241 23,1 27,7296 20,7 72
196,Au,79,6642 99,3 13,5633 83,2 96,13129 68,24 61
196,Hg,80,8883 87,23 33,6547 88,3 12,18352 90,13 83
196,Tl,81,7412 66,16 42,3772 17,26 12,23581 92,32 62
196,Pb,82,9711 94,19 52,4482 03,13 49,27319 30,16 31
196,Bi,83,8054 79,24 99,1590 31,30 32,*,72 30
196,Po,84,10488 10,39 73,2736 45,14 51,*,58 14
196,At,85,8515 70,31 76,147 39,48 10,*,78 32
196,Rn,86,11150 61,52 52,1847 69,17 31,*,96 28
0197,W,74,4330 566,*,401 *,7024 643,*,
197,Re,75,6031 422,8911 499,10638 298,11218 422,8888 422,2444 585
197,Os,76,5103 200,10056 357,5232 196,10981 357,6792 277,4864 357
197,Ir,77,6899 93,43 36,7275 97,44 72,77 54,25 90
197,Pt,78,5846 56,0 26,8273 23,38 41,5674 35,4 83
197,Au,79,8072 35,2 94,5784 20,0 53,11452 55,8 35
