N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
45,1.0,26,81,Tl,-21034,-21034.451,5.439,7866.7,97    0.026 B-   1417
43,1.0,25,82,Pb,-22452,-22452.047,1.147,7869.8,66    0.006 B-  -2397
41,1.0,24,83,Bi,-20054,-20054.627,2.397,7854.5,05    0.012 B-  -2908
39,1.0,23,84,Po,-17145,-17145.775,6.659,7836.6,73    0.032 B-  -3918
37,1.0,22,85,At,-13227,,12.406,7813.9,64    0.060 B-  -4592
35,1.0,21,86,Rn,-8634,,8.497,7787.9,98    0.041 B-  -5790
33,1.0,20,87,Fr,-2844,-2844.341,17.505,7756.2,46    0.085 B-  -6388
31,1.0,19,88,Ra,-a,,53.202,7721.6,02    0.257 B-  -7601
29,1.0,18,89,Ac,-a,,50.387,7681.0,99    0.243 B-      *
0 52,1.0,30,78,Pt,-990,,400#,7783#,2#    B-   5111
50,1.0,29,79,Au,-6101,,298#,7804#,1#    B-   7164
48,1.0,28,80,Hg,-13265,,30.739,7834.1,91    0.148 B-   3484
46,1.0,27,81,Tl,-16750,,1.854,7847.1,83    0.009 B-   4998
44,1.0,26,82,Pb,-21748,-21748.598,1.148,7867.4,53    0.006 B-  -2878
42,1.0,25,83,Bi,-18870,,2.304,7849.8,53    0.011 B-  -1400
40,1.0,24,84,Po,-a,,1.737,7839.3,58    0.008 B-  -4999
38,1.0,23,85,At,-12469,,8.921,7811.5,60    0.043 B-  -2814
36,1.0,22,86,Rn,-a,,11.138,7794.2,68    0.054 B-  -6989
34,1.0,21,87,Fr,-2665,-2665.919,11.834,7756.9,03    0.057 B-  -4393
32,1.0,20,88,Ra,-a,,9.023,7732.0,17    0.043 B-  -9025
30,1.0,19,89,Ac,-a,,55.716,7684.8,65    0.268 B-  -5930
28,1.0,18,90,Th,-a,,34.190,7652.5,92    0.164 B-      *
0 51,1.0,30,79,Au,-2540,,400#,7788#,2#    B-   6104
49,1.0,29,80,Hg,-8644,,149#,7813#,1#    B-   5000
47,1.0,28,81,Tl,-13644,,6.110,7833.3,97    0.029 B-   3969
45,1.0,27,82,Pb,-17614,-17614.646,1.747,7848.6,48    0.008 B-    644
43,1.0,26,83,Bi,-18258,-18258.662,1.364,7847.9,87    0.007 B-  -1892
41,1.0,25,84,Po,-a,,1.778,7835.1,88    0.009 B-  -3483
39,1.0,24,85,At,-12882,-12882.613,5.102,7814.7,77    0.024 B-  -3941
37,1.0,23,86,Rn,-8941,-8941.049,9.960,7792.1,75    0.048 B-  -5171
35,1.0,22,87,Fr,-3769,,14.648,7763.6,88    0.070 B-  -5627
33,1.0,21,88,Ra,-a,,5.747,7733.0,17    0.027 B-  -6985
31,1.0,20,89,Ac,-a,,50.608,7695.8,50    0.242 B-  -7523
29,1.0,19,90,Th,,,140#,7656#,1#    B-      *
0 52,1.0,31,79,Au,,,401#,7766#,2#    B-   7694
50,1.0,30,80,Hg,-5365,,196#,7799#,1#    B-   3882
48,1.0,29,81,Tl,-9246,,11.604,7813.5,88    0.055 B-   5481
46,1.0,28,82,Pb,-14728,-14728.502,1.447,7835.9,65    0.007 B-     63
44,1.0,27,83,Bi,-14791,-14791.979,1.363,7832.5,42    0.006 B-   1161
42,1.0,26,84,Po,-15953,-15953.137,1.146,7834.3,46    0.005 B-  -3980
40,1.0,25,85,At,-a,,7.695,7811.6,63    0.037 B-  -2367
38,1.0,24,86,Rn,-a,,4.557,7796.6,65    0.022 B-  -6271
36,1.0,23,87,Fr,-3333,-3333.205,15.154,7763.0,75    0.072 B-  -3775
34,1.0,22,88,Ra,-a,,9.193,7741.3,68    0.044 B-  -8346
32,1.0,21,89,Ac,-a,,57.402,7697.8,96    0.273 B-  -5269
30,1.0,20,90,Th,-a,,18.909,7669.0,76    0.090 B-      *
0 51,1.0,31,80,Hg,-624,,196#,7778#,1#    B-   5454
49,1.0,30,81,Tl,-6077,,41.917,7799.7,91    0.199 B-   4414
47,1.0,29,82,Pb,-10492,-10492.948,2.261,7817.0,07    0.011 B-   1366
45,1.0,28,83,Bi,-11859,-11859.131,5.442,7819.7,74    0.026 B-    573
43,1.0,27,84,Po,-a,,1.255,7818.7,84    0.006 B-   -785
41,1.0,26,85,At,-a,,2.729,7811.3,54    0.013 B-  -2891
39,1.0,25,86,Rn,-a,,6.813,7793.9,41    0.032 B-  -4615
37,1.0,24,87,Fr,-4140,-4140.249,11.991,7768.3,60    0.057 B-  -4972
35,1.0,23,88,Ra,,,7.918,7741.0,87    0.038 B-  -6370
33,1.0,22,89,Ac,-a,,52.976,7707.1,89    0.251 B-  -6707
31,1.0,21,90,Th,-a,,73.010,7671.6,90    0.346 B-  -8170
29,1.0,20,91,Pa,,,102#,7629#,0#    B-      *
0 52,1.0,32,80,Hg,,,298#,7763#,1#    B-   4308
50,1.0,31,81,Tl,-1551,,200#,7780#,1#    B-   5998
48,1.0,30,82,Pb,-7548,-7548.85,1.842,7804.3,19    0.009 B-    569
46,1.0,29,83,Bi,-8117,-8117.954,1.854,7803.3,13    0.009 B-   2251
44,1.0,28,84,Po,-10369,-10369.487,1.152,7810.2,43    0.005 B-  -1741
42,1.0,27,85,At,-a,,2.384,7798.3,40    0.011 B-     31
40,1.0,26,86,Rn,-a,,3.145,7794.7,97    0.015 B-  -5143
38,1.0,25,87,Fr,-3515,-3515.968,8.775,7766.8,45    0.041 B-  -3317
36,1.0,24,88,Ra,-a,,11.263,7747.5,08    0.053 B-  -7476
34,1.0,23,89,Ac,-a,,51.381,7708.5,52    0.242 B-  -4833
32,1.0,22,90,Th,-a,,10.109,7682.0,62    0.048 B-  -9482
30,1.0,21,91,Pa,-a,,74.862,7633.6,43    0.353 B-      *
0 53,1.0,33,80,Hg,,,298#,7741#,1#    B-   5882
51,1.0,32,81,Tl,,,27.013,7765.4,30    0.127 B-   4987
49,1.0,31,82,Pb,-3203,,6.954,7785.1,72    0.033 B-   2028
47,1.0,30,83,Bi,-5231,-5231.635,5.082,7791.0,21    0.024 B-   1421
45,1.0,29,84,Po,-6653,-6653.584,3.053,7794.0,24    0.014 B-    -73
43,1.0,28,85,At,-a,,4.898,7790.0,03    0.023 B-   -883
41,1.0,27,86,Rn,-a,,3.370,7782.1,82    0.016 B-  -2143
39,1.0,26,87,Fr,-3552,-3552.848,5.091,7768.4,47    0.024 B-  -3898
37,1.0,25,88,Ra,,345.557,9.818,7746.4,72    0.046 B-  -5809
35,1.0,24,89,Ac,-a,,15.272,7715.5,26    0.072 B-  -5965
33,1.0,23,90,Th,-a,,9.217,7683.8,46    0.043 B-  -7542
31,1.0,22,91,Pa,-a,,71.142,7644.7,62    0.334 B-      *
0 54,1.0,34,80,Hg,,,401#,7727#,2#    B-   4713
52,1.0,33,81,Tl,,,196#,7745#,1#    B-   6647
50,1.0,32,82,Pb,-182,-182.769,1.975,7772.3,94    0.009 B-   1017
48,1.0,31,83,Bi,-1200,-1200.753,11.209,7773.4,95    0.052 B-   3269
46,1.0,30,84,Po,-4470,-4470.046,1.449,7785.1,16    0.007 B-  -1090
44,1.0,29,85,At,-a,,4.298,7776.3,66    0.020 B-    939
42,1.0,28,86,Rn,-a,,9.187,7777.1,02    0.043 B-  -3361
40,1.0,27,87,Fr,-a,,8.634,7757.7,40    0.040 B-  -1051
