N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
5,,49,44,Ru,-77216,-77216.713,2.065,8531.4,62    0.022 B-  -8204
3,,48,45,Rh,-69011,-69011.8,2.629,8434.8,25    0.028 B- -10011
1,,47,46,Pd,-59001,,300#,8319#,3#    B- -12734
0 26,,60,34,Se,-36803,,500#,8180#,5#    B-  10597
24,,59,35,Br,-47400,,300#,8284#,3#    B-  13948
22,,58,36,Kr,-61347,,12.109,8424.3,31    0.129 B-   7215
20,,57,37,Rb,-68562,-68562.785,2.029,8492.7,64    0.022 B-  10282
18,,56,38,Sr,-78845,-78845.711,1.663,8593.8,34    0.018 B-   3505
16,,55,39,Y,-82351,-82351.463,6.380,8622.8,06    0.068 B-   4917
14,,54,40,Zr,-87269,-87269.322,0.164,8666.8,01    0.002 B-   -900
12,,53,41,Nb,-86369,-86369.062,1.491,8648.9,01    0.016 B-   2045
10,,52,42,Mo,-88414,-88414.065,0.141,8662.3,33    0.002 B-  -4255
8,,51,43,Tc,-84158,,4.071,8608.7,36    0.043 B-  -1574
6,,50,44,Ru,-82583,-82583.591,3.143,8583.6,61    0.033 B-  -9675
4,,49,45,Rh,-72907,-72907.613,3.379,8472.4,02    0.036 B-  -6805
2,,48,46,Pd,-66102,,4.287,8391.6,82    0.046 B- -13693
0,,47,47,Ag,-52410,,400#,8238#,4#    B- -12270
0 27,,61,34,Se,-30460,,500#,8112#,5#    B-  13311
25,,60,35,Br,-43771,,298#,8244#,3#    B-  12388
23,,59,36,Kr,-56158,,18.630,8365.9,95    0.196 B-   9732
21,,58,37,Rb,-65891,-65891.493,20.245,8460.2,08    0.213 B-   9228
19,,57,38,Sr,-75119,-75119.551,5.812,8549.1,11    0.061 B-   6089
17,,56,39,Y,-81208,-81208.848,6.779,8604.9,73    0.071 B-   4451
15,,55,40,Zr,-85659,-85659.94,0.869,8643.5,92    0.009 B-   1126
13,,54,41,Nb,-86786,-86786.258,0.508,8647.2,12    0.005 B-    925
11,,53,42,Mo,-87711,-87711.858,0.123,8648.7,20    0.001 B-  -1690
9,,52,43,Tc,-86021,-86021.341,5.080,8622.6,90    0.053 B-  -2563
7,,51,44,Ru,-83457,-83457.745,9.502,8587.4,70    0.100 B-  -5117
5,,50,45,Rh,-78340,-78340.606,3.886,8525.3,70    0.041 B-  -8374
3,,49,46,Pd,-69965,,3.031,8428.9,80    0.032 B- -10369
1,,48,47,Ag,-59597,,298#,8312#,3#    B- -12966
0 26,,61,35,Br,-38163,,298#,8184#,3#    B-  14916
24,,60,36,Kr,-53079,,20.493,8330.8,51    0.213 B-   8274
22,,59,37,Rb,-61354,-61354.349,3.353,8408.8,96    0.035 B-  11569
20,,58,38,Sr,-72924,-72924.157,8.475,8521.2,65    0.088 B-   5411
18,,57,39,Y,-78335,-78335.895,6.088,8569.4,88    0.063 B-   7102
16,,56,40,Zr,-85438,-85438.846,0.114,8635.3,27    0.001 B-    163
14,,55,41,Nb,-85602,-85602.816,0.147,8628.8,86    0.002 B-   3192
12,,54,42,Mo,-88794,-88794.876,0.120,8653.9,87    0.001 B-  -2973
10,,53,43,Tc,-85821,,5.146,8614.8,66    0.054 B-    258
8,,52,44,Ru,-86080,-86080.372,0.170,8609.4,12    0.002 B-  -6392
6,,51,45,Rh,-79687,,10.001,8534.6,73    0.104 B-  -3504
4,,50,46,Pd,-76183,,4.194,8490.0,20    0.044 B- -11671
2,,49,47,Ag,-64511,,90.084,8360.2,90    0.938 B-  -8939
0,,48,48,Cd,-55573,,401#,8259#,4#    B- -17683
0 27,,62,35,Br,-34055,,401#,8140#,4#    B-  13368
25,,61,36,Kr,-47423,,130.409,8269.8,64    1.344 B-  11095
23,,60,37,Rb,-58519,-58519.137,1.912,8376.1,86    0.020 B-  10062
21,,59,38,Sr,-68581,-68581.454,3.385,8471.8,56    0.035 B-   7539
19,,58,39,Y,-76121,,6.719,8541.5,22    0.069 B-   6821
17,,57,40,Zr,-82942,-82942.661,0.414,8603.7,79    0.004 B-   2663
15,,56,41,Nb,-85605,-85605.776,4.249,8623.1,68    0.044 B-   1938
13,,55,42,Mo,-87544,-87544.691,0.165,8635.0,92    0.002 B-   -320
11,,54,43,Tc,-87224,-87224.424,4.118,8623.7,25    0.042 B-  -1103
9,,53,44,Ru,-n,,2.763,8604.2,79    0.028 B-  -3523
7,,52,45,Rh,-82597,,35.463,8559.8,94    0.366 B-  -4791
5,,51,46,Pd,-77805,,4.844,8502.4,30    0.050 B-  -6980
3,,50,47,Ag,-70825,,110.107,8422.4,05    1.135 B- -10372
1,,49,48,Cd,-60454,,298#,8307#,3#    B- -13264
0 28,,63,35,Br,-28250,,400#,8080#,4#    B-  16061
26,,62,36,Kr,-44311,,298#,8236#,3#    B-  10058
24,,61,37,Rb,-54369,-54369.146,16.083,8330.7,29    0.164 B-  12053
22,,60,38,Sr,-66423,-66423.104,3.226,8445.7,45    0.033 B-   5871
20,,59,39,Y,-2n,,7.929,8497.6,77    0.081 B-   8991
18,,58,40,Zr,-81286,-81286.709,8.451,8581.4,48    0.086 B-   2237
16,,57,41,Nb,-pn,,5.001,8596.3,01    0.051 B-   4591
14,,56,42,Mo,-88115,-88115.972,0.174,8635.1,68    0.002 B-  -1683
12,,55,43,Tc,-86432,-86432.205,3.380,8610.0,04    0.034 B-   1792
10,,54,44,Ru,-88224,-88224.858,6.463,8620.3,13    0.066 B-  -5049
8,,53,45,Rh,-83175,,11.906,8560.8,03    0.121 B-  -1854
6,,52,46,Pd,-81320,-81320.975,4.742,8533.8,99    0.048 B-  -8254
4,,51,47,Ag,-73066,-73066.415,32.907,8441.6,86    0.336 B-  -5430
2,,50,48,Cd,-67636,,51.797,8378.2,95    0.529 B- -13740
0,,49,49,In,-53896,,298#,8230#,3#    B-      *
0 27,,63,36,Kr,-38759,,401#,8178#,4#    B-  12362
25,,62,37,Rb,-51121,,4.031,8295.3,00    0.041 B-  11400
23,,61,38,Sr,-62521,-62521.401,4.741,8402.5,52    0.048 B-   8128
21,,60,39,Y,-70649,,6.627,8476.7,55    0.067 B-   6970
19,,59,40,Zr,-77620,-77620.617,10.502,8539.2,64    0.106 B-   4714
17,,58,41,Nb,-82335,,12.004,8578.9,85    0.121 B-   3634
15,,57,42,Mo,-85970,-85970.098,0.229,8607.7,97    0.002 B-   1357
13,,56,43,Tc,-87327,-87327.862,0.908,8613.6,10    0.009 B-    297
11,,55,44,Ru,-87625,-87625.381,0.344,8608.7,12    0.003 B-  -2044
9,,54,45,Rh,-85581,-85581.3,6.697,8580.1,63    0.068 B-  -3398
7,,53,46,Pd,-82182,-82182.651,4.981,8537.9,30    0.050 B-  -5470
5,,52,47,Ag,-76712,,6.265,8474.7,74    0.063 B-  -6781
3,,51,48,Cd,-69931,,1.584,8398.3,73    0.016 B-  -8555
1,,50,49,In,-61376,,298#,8304#,3#    B- -13432
0 28,,64,36,Kr,-35052,,401#,8140#,4#    B-  11195
26,,63,37,Rb,-46247,,19.561,8244.3,20    0.196 B-  13573
24,,62,38,Sr,-59820,-59820.903,7.160,8372.2,34    0.072 B-   7506
22,,61,39,Y,-67327,,11.186,8439.4,76    0.112 B-   9050
20,,60,40,Zr,-76377,-76377.437,8.149,8522.1,53    0.081 B-   3419
18,,59,41,Nb,-79797,,7.986,8548.5,29    0.080 B-   6395
16,,58,42,Mo,-86193,-86193.025,0.302,8604.6,62    0.003 B-   -172
14,,57,43,Tc,-n,,1.351,8595.1,18    0.014 B-   3206
12,,56,44,Ru,-89227,-89227.389,0.343,8619.3,59    0.003 B-  -3636
10,,55,45,Rh,-85591,-85591.126,18.125,8575.1,72    0.181 B-   -378
8,,54,46,Pd,-85212,-85212.778,17.638,8563.5,66    0.176 B-  -7074
6,,53,47,Ag,-78137,,5.000,8484.9,94    0.050 B-  -3943
4,,52,48,Cd,-74194,-74194.596,1.677,8437.7,37    0.017 B-  -9881
2,,51,49,In,-64312,-64312.972,182.519,8331.0,97    1.825 B-  -7030
0,,50,50,Sn,-57282,,301.518,8252.9,74    3.015 B-      *
0 29,,65,36,Kr,-29128,,503#,8081#,5#    B-  13717
27,,64,37,Rb,-42845,,200#,8209#,2#    B-  12480
25,,63,38,Sr,-55324,,8.480,8324.7,40    0.084 B-   9736
23,,62,39,Y,-65061,,7.092,8413.3,91    0.070 B-   8104
21,,61,40,Zr,-73165,-73165.957,8.339,8485.8,92    0.083 B-   5725
19,,60,41,Nb,-78891,,3.749,8534.8,35    0.037 B-   4628
17,,59,42,Mo,-n,,0.309,8572.9,15    0.003 B-   2824
15,,58,43,Tc,-86344,,24.004,8593.1,36    0.238 B-   1613
13,,57,44,Ru,-87958,-87958.114,0.415,8601.3,65    0.004 B-   -545
11,,56,45,Rh,-87412,-87412.416,5.841,8588.2,16    0.058 B-  -1980
9,,55,46,Pd,-85432,-85432.132,4.588,8560.8,64    0.045 B-  -4097
7,,54,47,Ag,-81334,,4.838,8512.5,46    0.048 B-  -5497
5,,53,48,Cd,-75836,,1.490,8450.3,65    0.015 B-  -7223
3,,52,49,In,-68614,,196#,8371#,2#    B-  -8308
1,,51,50,Sn,-60305,,300.005,8281.1,02    2.970 B-      *
0 28,,65,37,Rb,-37707,,298#,8157#,3#    B-  14452
26,,64,38,Sr,-52159,,67.068,8291.2,20    0.658 B-   9013
24,,63,39,Y,-61173,,4.077,8371.9,22    0.040 B-  10414
22,,62,40,Zr,-71587,-71587.707,8.767,8466.3,55    0.086 B-   4716
20,,61,41,Nb,-76304,-76304.544,2.545,8504.9,28    0.025 B-   7261
18,,60,42,Mo,-83566,-83566.061,8.312,8568.4,50    0.081 B-   1006
16,,59,43,Tc,-84572,-84572.878,9.166,8570.6,50    0.090 B-   4533
14,,58,44,Ru,-89106,-89106.437,0.418,8607.4,27    0.004 B-  -2323
12,,57,45,Rh,-86783,,6.410,8576.9,81    0.063 B-   1119
10,,56,46,Pd,-87903,-87903.171,0.554,8580.2,90    0.005 B-  -5656
8,,55,47,Ag,-82246,,8.171,8517.1,64    0.080 B-  -2587
6,,54,48,Cd,-79659,-79659.691,1.662,8484.1,31    0.016 B-  -8964
4,,53,49,In,-70694,-70694.884,4.573,8388.5,71    0.045 B-  -5760
2,,52,50,Sn,-64934,,100.105,8324.4,30    0.981 B-      *
0 29,,66,37,Rb,-33608,,401#,8117#,4#    B-  13814
27,,65,38,Sr,-47422,,196#,8243#,2#    B-  11035
25,,64,39,Y,-58457,,11.204,8342.6,38    0.109 B-   9357
23,,63,40,Zr,-67815,,9.232,8425.8,95    0.090 B-   7213
21,,62,41,Nb,-75028,,3.935,8488.3,31    0.038 B-   5931
19,,61,42,Mo,-80960,,9.232,8538.3,28    0.090 B-   3643
17,,60,43,Tc,-84603,,9.810,8566.1,03    0.095 B-   2663
15,,59,44,Ru,-87267,-87267.171,0.443,8584.3,65    0.004 B-    764
13,,58,45,Rh,-88031,-88031.708,2.301,8584.1,92    0.022 B-   -574
11,,57,46,Pd,-n,,0.950,8571.0,19    0.009 B-  -2654
9,,56,47,Ag,-84802,,4.099,8537.6,51    0.040 B-  -4151
7,,55,48,Cd,-80651,-80651.616,1.811,8489.7,54    0.018 B-  -6019
5,,54,49,In,-74632,-74632.591,9.625,8423.7,21    0.093 B-  -7660
3,,53,50,Sn,-66972,,70.659,8341.7,57    0.686 B- -10794
1,,52,51,Sb,-56178,,298#,8229#,3#    B-      *
0 28,,66,38,Sr,-44106,,298#,8210#,3#    B-   9958
26,,65,39,Y,-54064,,401#,8298#,4#    B-  11660
24,,64,40,Zr,-65724,,9.325,8402.3,77    0.090 B-   6094
22,,63,41,Nb,-71819,,2.737,8453.4,59    0.026 B-   8530
20,,62,42,Mo,-80349,-80349.968,8.921,8527.9,65    0.086 B-   2153
18,,61,43,Tc,-82503,-82503.444,24.888,8541.1,49    0.239 B-   5592
16,,60,44,Ru,-88095,-88095.71,2.498,8587.3,99    0.024 B-  -1136
14,,59,45,Rh,-n,,2.303,8568.9,49    0.022 B-   2435
12,,58,46,Pd,-89395,,1.336,8584.8,48    0.013 B-  -4278
10,,57,47,Ag,-85116,,4.217,8536.1,84    0.041 B-  -1148
8,,56,48,Cd,-83968,-83968.38,1.673,8517.6,22    0.016 B-  -7785
6,,55,49,In,-76182,,5.775,8435.2,37    0.056 B-  -4555
4,,54,50,Sn,-71627,-71627.047,5.745,8383.9,11    0.055 B- -12453
2,,53,51,Sb,-p,,122.444,8256.6,44    1.177 B-      *
0 29,,67,38,Sr,-38610,,503#,8156#,5#    B-  12660
27,,66,39,Y,-51270,,1336.694,8269.0,20   12.730 B-  10194
25,,65,40,Zr,-61464,,12.118,8358.6,59    0.115 B-   8450
23,,64,41,Nb,-69915,,4.028,8431.6,92    0.038 B-   7421
21,,63,42,Mo,-77337,-77337.141,9.065,8494.9,23    0.086 B-   4952
19,,62,43,Tc,-82290,-82290.088,35.264,8534.6,43    0.336 B-   3644
17,,61,44,Ru,-85934,-85934.49,2.499,8561.9,00    0.024 B-   1916
15,,60,45,Rh,-87851,-87851.243,2.502,8572.7,04    0.024 B-    566
13,,59,46,Pd,-88417,-88417.888,1.138,8570.6,50    0.011 B-  -1347
11,,58,47,Ag,-87070,-87070.836,4.544,8550.3,70    0.043 B-  -2736
9,,57,48,Cd,-84333,-84333.839,1.392,8516.8,52    0.013 B-  -4693
7,,56,49,In,-79640,,10.246,8464.7,04    0.098 B-  -6302
5,,55,50,Sn,-73337,-73337.992,3.971,8397.2,28    0.038 B-  -9322
3,,54,51,Sb,-64015,,21.827,8300.9,92    0.208 B- -11203
1,,53,52,Te,-a,,300.020,8186.8,36    2.857 B-      *
0 30,,68,38,Sr,-34790,,600#,8119#,6#    B-  11263
28,,67,39,Y,-46053,,503#,8218#,5#    B-  12497
26,,66,40,Zr,-58549,,433.145,8328.4,50    4.086 B-   7653
24,,65,41,Nb,-66203,,4.122,8393.2,71    0.039 B-   9931
22,,64,42,Mo,-76134,,9.140,8479.5,81    0.086 B-   3641
20,,63,43,Tc,-79776,,12.250,8506.5,56    0.116 B-   6547
18,,62,44,Ru,-86323,-86323.223,5.391,8560.9,40    0.051 B-     39
16,,61,45,Rh,-86362,-86362.627,5.390,8553.9,31    0.051 B-   3544
14,,60,46,Pd,-89907,-89907.527,1.106,8579.9,92    0.010 B-  -2965
12,,59,47,Ag,-86942,-86942.383,3.016,8544.6,39    0.028 B-    189
10,,58,48,Cd,-87132,-87132.138,1.104,8539.0,48    0.010 B-  -6524
8,,57,49,In,-80608,,12.226,8470.1,20    0.115 B-  -3254
6,,56,50,Sn,-77353,-77353.687,5.091,8432.0,38    0.048 B- -10880
4,,55,51,Sb,-66473,,7.452,8322.0,12    0.070 B-  -8253
2,,54,52,Te,-a,,100.541,8236.7,67    0.948 B-      *
0 31,,69,38,Sr,-28900,,700#,8064#,7#    B-  13465
29,,68,39,Y,-42364,,503#,8182#,5#    B-  12015
27,,67,40,Zr,-54379,,1122.450,8287.0,73   10.490 B-   9344
25,,66,41,Nb,-63723,,8.023,8367.0,89    0.075 B-   8827
23,,65,42,Mo,-72551,,9.233,8442.2,80    0.086 B-   6198
21,,64,43,Tc,-78749,,8.673,8492.8,97    0.081 B-   5112
19,,63,44,Ru,-nn,,8.673,8533.3,66    0.081 B-   3001
17,,62,45,Rh,-86863,,12.051,8554.1,03    0.113 B-   1508
15,,61,46,Pd,-88372,-88372.639,1.201,8560.8,94    0.011 B-     34
13,,60,47,Ag,-88406,-88406.67,2.382,8553.9,00    0.022 B-  -1416
11,,59,48,Cd,-86990,-86990.261,1.665,8533.3,51    0.016 B-  -3426
9,,58,49,In,-83564,,11.125,8494.0,21    0.104 B-  -5052
7,,57,50,Sn,-78512,,5.310,8439.4,94    0.050 B-  -7858
5,,56,51,Sb,-70653,-70653.239,4.148,8358.7,34    0.039 B- -10113
3,,55,52,Te,-a,,70.830,8256.8,99    0.662 B- -11110
1,,54,53,I,-49430,,300#,8146#,3#    B-      *
0 30,,69,39,Y,-37297,,596#,8134#,6#    B-  14056
28,,68,40,Zr,-51353,,401#,8257#,4#    B-   8193
26,,67,41,Nb,-59545,,8.237,8325.6,65    0.076 B-  11210
24,,66,42,Mo,-70755,,9.233,8422.2,19    0.085 B-   5166
22,,65,43,Tc,-75922,,8.769,8462.8,16    0.081 B-   7738
20,,64,44,Ru,-3n,,8.680,8527.2,25    0.080 B-   1370
18,,63,45,Rh,-85031,,13.996,8532.6,70    0.130 B-   4492
16,,62,46,Pd,-89524,-89524.206,1.108,8567.0,23    0.010 B-  -1917
14,,61,47,Ag,-n,,2.388,8542.0,25    0.022 B-   1645
12,,60,48,Cd,-89252,-89252.414,1.123,8550.0,19    0.010 B-  -5132
10,,59,49,In,-84119,-84119.819,8.641,8495.2,51    0.080 B-  -2049
8,,58,50,Sn,-82069,-82069.938,5.382,8469.0,27    0.050 B-  -9624
6,,57,51,Sb,-72445,,5.496,8372.6,66    0.051 B-  -6663
4,,56,52,Te,-65781,-65781.667,5.411,8303.7,21    0.050 B- -13132
2,,55,53,I,-a,,132.260,8174.8,84    1.225 B-      *
0 31,,70,39,Y,-33200,,700#,8096#,6#    B-  12992
29,,69,40,Zr,-46193,,503#,8208#,5#    B-  10497
27,,68,41,Nb,-56689,,258.490,8297.1,30    2.371 B-   9976
25,,67,42,Mo,-66665,,11.188,8381.4,77    0.103 B-   7616
23,,66,43,Tc,-74282,,9.669,8444.1,78    0.089 B-   6455
21,,65,44,Ru,-4n,,8.954,8496.2,27    0.082 B-   4261
19,,64,45,Rh,-84999,-84999.455,4.039,8528.1,42    0.037 B-   2607
17,,63,46,Pd,-87606,-87606.476,1.114,8544.8,82    0.010 B-   1112
15,,62,47,Ag,-88719,-88719.426,1.287,8547.9,15    0.012 B-   -215
13,,61,48,Cd,-88504,-88504.321,1.536,8538.7,64    0.014 B-  -2014
11,,60,49,In,-86489,-86489.511,3.969,8513.1,02    0.036 B-  -3859
9,,59,50,Sn,-82630,-82630.184,7.949,8470.5,18    0.073 B-  -6379
7,,58,51,Sb,-76250,-76250.977,5.265,8404.8,15    0.048 B-  -8535
5,,57,52,Te,-67715,-67715.39,4.382,8319.3,30    0.040 B- -10042
3,,56,53,I,-p,,6.729,8220.0,16    0.062 B- -11502
1,,55,54,Xe,-a,,300.108,8107.3,06    2.753 B-      *
0 30,,70,40,Zr,-42886,,596#,8177#,5#    B-   9424
28,,69,41,Nb,-52309,,838.345,8255.2,60    7.621 B-  12232
26,,68,42,Mo,-64542,,24.223,8359.3,54    0.220 B-   6491
24,,67,43,Tc,-71034,,9.497,8411.2,59    0.086 B-   9038
22,,66,44,Ru,-80072,-80072.576,8.924,8486.3,11    0.081 B-   2756
20,,65,45,Rh,-82828,-82828.686,17.805,8504.2,54    0.162 B-   5502
18,,64,46,Pd,-88330,-88330.905,0.612,8547.1,62    0.006 B-   -873
16,,63,47,Ag,-87457,-87457.302,1.286,8532.1,08    0.012 B-   2890
14,,62,48,Cd,-90347,-90347.969,0.380,8551.2,75    0.003 B-  -3878
12,,61,49,In,-86469,,11.553,8508.9,08    0.105 B-   -627
10,,60,50,Sn,-85841,,13.777,8496.0,87    0.125 B-  -8392
8,,59,51,Sb,-77449,,5.962,8412.6,81    0.054 B-  -5219
6,,58,52,Te,-72229,-72229.811,6.575,8358.1,15    0.060 B- -11765
4,,57,53,I,-a,,50.552,8244.0,43    0.460 B-  -8541
2,,56,54,Xe,-a,,100.988,8159.2,80    0.918 B-      *
0 31,,71,40,Zr,-37560,,700#,8128#,6#    B-  11316
29,,70,41,Nb,-48875,,298#,8223#,3#    B-  11064
27,,69,42,Mo,-59939,,12.578,8315.2,92    0.113 B-   9084
25,,68,43,Tc,-69024,,10.581,8390.0,89    0.095 B-   7760
23,,67,44,Ru,-76785,,9.682,8452.9,57    0.087 B-   5519
21,,66,45,Rh,-82304,-82304.452,6.850,8495.6,31    0.062 B-   3681
19,,65,46,Pd,-n,,0.731,8521.7,49    0.007 B-   2229
17,,64,47,Ag,-88215,,1.459,8534.7,87    0.013 B-   1036
15,,63,48,Cd,-89252,-89252.247,0.357,8537.0,79    0.003 B-   -860
13,,62,49,In,-88392,-88392.043,3.424,8522.2,82    0.031 B-  -2453
11,,61,50,Sn,-85938,,5.336,8493.1,30    0.048 B-  -5101
9,,60,51,Sb,-80836,,8.849,8440.1,20    0.080 B-  -7249
7,,59,52,Te,-73587,,6.427,8367.7,63    0.058 B-  -8633
5,,58,53,I,-64953,-64953.785,4.754,8282.9,34    0.043 B- -10558
3,,57,54,Xe,-a,,86.700,8180.7,66    0.781 B- -11575
1,,56,55,Cs,-42821,,196#,8069#,2#    B-      *
0 32,,72,40,Zr,-33810,,700#,8094#,6#    B-  10463
30,,71,41,Nb,-44274,,298#,8180#,3#    B-  13190
28,,70,42,Mo,-57464,,196#,8291#,2#    B-   7795
26,,69,43,Tc,-65258,,5.515,8353.6,21    0.049 B-  10371
24,,68,44,Ru,-75630,,9.599,8439.2,42    0.086 B-   4100
22,,67,45,Rh,-79731,-79731.503,44.085,8468.8,70    0.394 B-   6590
20,,66,46,Pd,-86321,-86321.562,6.544,8520.7,24    0.058 B-    262
18,,65,47,Ag,-86583,,2.422,8516.0,80    0.022 B-   3991
16,,64,48,Cd,-90574,-90574.859,0.250,8544.7,30    0.002 B-  -2584
14,,63,49,In,-87990,-87990.131,4.251,8514.6,67    0.038 B-    664
12,,62,50,Sn,-88655,-88655.056,0.294,8513.6,18    0.003 B-  -7056
10,,61,51,Sb,-81598,,17.829,8443.6,32    0.159 B-  -4031
8,,60,52,Te,-77567,,8.383,8400.6,52    0.075 B- -10504
6,,59,53,I,-67063,,10.246,8299.8,79    0.091 B-  -7036
4,,58,54,Xe,-a,,8.283,8230.0,64    0.074 B- -13736
2,,57,55,Cs,-p,,86.796,8100.4,35    0.775 B-      *
0 31,,72,41,Nb,-40511,,401#,8146#,4#    B-  11979
29,,71,42,Mo,-52490,,300#,8245#,3#    B-  10322
27,,70,43,Tc,-62811,,3.353,8329.4,64    0.030 B-   9056
25,,69,44,Ru,-71868,-71868.119,36.875,8402.6,88    0.326 B-   6899
23,,68,45,Rh,-78767,,7.130,8456.8,21    0.063 B-   4823
21,,67,46,Pd,-83591,,6.945,8492.5,84    0.061 B-   3435
19,,66,47,Ag,-87026,,16.643,8516.0,65    0.147 B-   2016
17,,65,48,Cd,-89043,-89043.284,0.244,8526.9,87    0.002 B-    323
15,,64,49,In,-89367,-89367.117,0.188,8522.9,29    0.002 B-  -1038
13,,63,50,Sn,-88328,-88328.132,1.575,8506.8,11    0.014 B-  -3911
11,,62,51,Sb,-84416,,17.193,8465.2,75    0.152 B-  -6069
9,,61,52,Te,-78347,,27.945,8404.6,36    0.247 B-  -7227
7,,60,53,I,-71119,,8.011,8333.7,52    0.071 B-  -8915
5,,59,54,Xe,-62203,-62203.618,6.840,8247.9,27    0.061 B- -10439
3,,58,55,Cs,-p,,8.577,8148.6,22    0.076 B- -11980
1,,57,56,Ba,-39784,,298#,8036#,3#    B-      *
0 32,,73,41,Nb,-35387,,503#,8100#,4#    B-  14420
30,,72,42,Mo,-49807,,298#,8220#,3#    B-   8793
28,,71,43,Tc,-58600,,433.145,8290.2,59    3.800 B-  11621
26,,70,44,Ru,-70221,,3.550,8385.3,40    0.031 B-   5488
24,,69,45,Rh,-75710,-75710.625,71.561,8426.6,24    0.628 B-   7780
22,,68,46,Pd,-83490,,6.945,8488.0,10    0.061 B-   1439
20,,67,47,Ag,-84930,,4.564,8493.7,78    0.040 B-   5084
18,,66,48,Cd,-90014,-90014.932,0.276,8531.5,13    0.002 B-  -1445
16,,65,49,In,-88569,-88569.801,0.301,8511.9,73    0.003 B-   1989
14,,64,50,Sn,-90559,-90559.723,0.029,8522.5,66    0.000 B-  -6063
12,,63,51,Sb,-84496,-84496.574,21.838,8462.5,18    0.192 B-  -2608
10,,62,52,Te,-81888,,27.945,8432.7,78    0.245 B-  -9092
8,,61,53,I,-72796,,149#,8346#,1#    B-  -5710
6,,60,54,Xe,-67085,,11.178,8289.2,05    0.098 B- -12403
4,,59,55,Cs,-a,,71.102,8173.5,38    0.624 B-  -8776
2,,58,56,Ba,-a,,102.676,8089.6,86    0.901 B-      *
0 33,,74,41,Nb,-31354,,503#,8065#,4#    B-  13395
31,,73,42,Mo,-44749,,401#,8175#,3#    B-  11571
29,,72,43,Tc,-56319,,789.441,8268.5,27    6.865 B-   9869
27,,71,44,Ru,-66189,,88.496,8347.5,47    0.770 B-   8040
25,,70,45,Rh,-74229,,7.316,8410.6,58    0.064 B-   6196
23,,69,46,Pd,-80426,-80426.386,13.546,8457.7,38    0.118 B-   4556
21,,68,47,Ag,-84982,-84982.654,18.268,8490.5,55    0.159 B-   3101
19,,67,48,Cd,-88084,-88084.479,0.651,8510.7,24    0.006 B-   1451
17,,66,49,In,-89536,-89536.346,0.012,8516.5,46    0.000 B-    497
15,,65,50,Sn,-90033,-90033.835,0.015,8514.0,69    0.000 B-  -3030
13,,64,51,Sb,-87003,,16.025,8480.9,15    0.139 B-  -4940
11,,63,52,Te,-82062,,27.945,8431.1,50    0.243 B-  -5724
9,,62,53,I,-76337,,28.876,8374.5,64    0.251 B-  -7681
7,,61,54,Xe,-68656,,12.109,8300.9,70    0.105 B-  -8957
5,,60,55,Cs,-59699,,102#,8216#,1#    B- -10680
3,,59,56,Ba,-49020,,200#,8117#,2#    B-      *
0 32,,74,42,Mo,-41500,,500#,8146#,4#    B-   9956
30,,73,43,Tc,-51456,,298#,8225#,3#    B-  12613
28,,72,44,Ru,-64068,,3.726,8326.8,83    0.032 B-   6667
26,,71,45,Rh,-70736,-70736.122,73.832,8377.6,15    0.636 B-   9095
24,,70,46,Pd,-79831,,7.132,8449.2,80    0.061 B-   2711
22,,69,47,Ag,-82542,,3.260,8465.9,07    0.028 B-   6169
20,,68,48,Cd,-88712,-88712.48,0.160,8512.3,50    0.001 B-   -462
18,,67,49,In,-n,,0.220,8501.6,17    0.002 B-   3276
16,,66,50,Sn,-91525,-91525.97,0.096,8523.1,16    0.001 B-  -4703
14,,65,51,Sb,-86822,-86822.15,5.160,8475.8,21    0.044 B-  -1553
12,,64,52,Te,-85268,,27.945,8455.6,87    0.241 B-  -7776
10,,63,53,I,-77492,,96.592,8381.9,02    0.833 B-  -4445
8,,62,54,Xe,-73046,,13.041,8336.8,34    0.112 B- -11004
6,,61,55,Cs,-62043,,100#,8235#,1#    B-  -7463
4,,60,56,Ba,-54580,,200#,8164#,2#    B- -13935
2,,59,57,La,-a,,312#,8037#,3#    B-      *
0 33,,75,42,Mo,-36170,,500#,8100#,4#    B-  12212
31,,74,43,Tc,-48382,,401#,8197#,3#    B-  11108
29,,73,44,Ru,-59489,,433.145,8285.5,62    3.702 B-   9407
27,,72,45,Rh,-68897,,8.892,8359.2,81    0.076 B-   7527
25,,71,46,Pd,-76424,-76424.477,7.252,8416.9,29    0.062 B-   5757
23,,70,47,Ag,-82182,-82182.014,13.572,8459.4,52    0.116 B-   4236
21,,69,48,Cd,-n,,1.013,8488.9,73    0.009 B-   2524
19,,68,49,In,-88943,-88943.042,4.881,8503.8,65    0.042 B-   1454
17,,67,50,Sn,-90397,-90397.751,0.483,8509.6,11    0.004 B-  -1758
15,,66,51,Sb,-88639,-88639.539,8.437,8487.8,97    0.072 B-  -3544
13,,65,52,Te,-85095,-85095.411,13.456,8450.9,19    0.115 B-  -4659
11,,64,53,I,-80436,-80436.077,26.196,8404.4,09    0.224 B-  -6250
9,,63,54,Xe,-74185,,10.378,8344.2,97    0.089 B-  -7692
7,,62,55,Cs,-66493,,62.410,8271.8,64    0.533 B-  -9035
5,,61,56,Ba,-57457,,250.340,8187.9,53    2.140 B- -10987
